,District,Latitude,longitude,ACTIVE CASES,CONFIRMED CASES,DECEASED CASES,RECOVERED CASES
154,Kullu,32.00186325,77.37899639741332,393,1304,21,888
155,Lahaul and Spiti,32.5038495,77.58227188236428,61,319,1,257
156,Mandi,33.868829899999994,74.31880472886633,471,2710,34,2205
157,Shimla,31.1041526,77.1709729,428,2257,65,1748
158,Sirmaur,30.75,77.5,154,2226,16,2056
159,Solan,30.92589585,77.08200509063624,287,3555,36,3232
160,Una,31.4685,76.2708,103,1513,15,1395
161,Ambala,30.3843674,76.770421,178,8844,106,8560
162,Bhiwani,28.7931703,76.1391283,201,3585,52,3332
163,Charkhi Dadri,28.5919933,76.2719817,185,872,8,679
164,Faridabad,28.402837,77.3085626,919,24099,244,22936
165,Fatehabad,27.02766825,78.2074341134146,355,2932,57,2520
166,Gurugram,28.4646148,77.0299194,2888,27975,204,24883
167,Hisar,29.168807,75.7461103,1084,9127,120,7923
169,Jhajjar,28.5336844,76.68981212035648,269,3326,35,3022
170,Jind,29.38209845,76.3141308591687,228,2652,50,2374
171,Kaithal,29.7444561,76.42555011591303,98,2891,43,2750
172,Karnal,29.6803266,76.9896254,191,8164,116,7857
173,Kurukshetra,29.9693747,76.8482787,330,6541,100,6111
174,Mahendragarh,28.25,76.166667,488,4598,7,4103
175,Nuh,28.097345150000002,77.05085582101852,23,1250,26,1201
176,Palwal,28.12502575,77.35831300773046,110,3248,20,3118
177,Panchkula,30.616216450000003,77.04197804321875,168,6984,110,6706
178,Panipat,29.3912753,76.9771675,216,7886,101,7569
179,Rewari,28.1956468,76.6165179,553,7320,34,6733
180,Rohtak,28.9010899,76.5801935,732,7382,72,6578
181,Sirsa,29.583333,75.083333,347,4998,79,4572
182,Sonipat,29.0033144,77.0167323,427,9749,50,9272
183,Yamunanagar,30.2112003,77.28638972360895,164,5034,103,4767
184,Bokaro,23.699127949999998,85.99106894165021,339,5209,45,4825
185,Chatra,24.20162495,84.87817691941733,60,1299,10,1229
186,Deoghar,24.4766423,86.60673245386945,92,2980,18,2870
187,Dhanbad,23.7952809,86.4309638,441,6145,80,5624
188,Dumka,24.2538512,87.30064714192224,121,1226,9,1096
189,East Singhbhum,22.5,85.5,1298,16041,332,14411
190,Garhwa,24.15529035,83.82522584408349,65,2435,10,2360
191,Giridih,24.1608897,86.25113503301655,69,3273,13,3191
192,Godda,24.74334305,87.29285061796858,46,1909,9,1854
193,Gumla,23.0916741,84.5738480719802,140,2006,2,1864
194,Hazaribagh,23.9675151,85.43884568595615,109,3988,26,3853
195,Jamtara,23.9232867,86.77353493891458,125,1030,2,903
196,Khunti,23.10018105,85.3454593617985,131,1917,5,1781
197,Koderma,24.4931239,85.55608107203881,25,3247,28,3194
